period,stay_date,iso_year,iso_week,month,day_of_week,season,is_holiday_period,is_weekend,previous_occupancy,rolling_7_day_occupancy,known_reservations_30d_before,known_guest_count_30d_before,known_average_nights_30d_before,occupied_accommodations,active_reservations,guests_on_site,average_nights,occupancy_rate
2023-W04-D3,2023-01-26,2023,4,1,3,0,0,0,0.8333333333333334,4.404761904761904,42,142.79999999999998,4.8,2.0,2.0,5.0,3.0,1.6666666666666667
2023-W04-D4,2023-01-27,2023,4,1,4,0,0,1,1.6666666666666667,3.8095238095238098,42,142.79999999999998,4.8,3.0,3.0,7.0,4.333333333333333,2.5
2023-W04-D5,2023-01-28,2023,4,1,5,0,0,1,2.5,3.3333333333333335,42,142.79999999999998,4.8,6.0,6.0,13.0,3.5,5.0
2023-W04-D6,2023-01-29,2023,4,1,6,0,0,0,5.0,3.2142857142857144,42,142.79999999999998,4.8,4.0,4.0,8.0,3.75,3.3333333333333335
2023-W05-D0,2023-01-30,2023,5,1,0,0,0,0,3.3333333333333335,2.857142857142857,42,142.79999999999998,4.8,6.0,6.0,15.0,4.0,5.0
2023-W05-D1,2023-01-31,2023,5,1,1,0,0,0,5.0,2.857142857142857,42,142.79999999999998,4.8,8.0,8.0,17.0,4.375,6.666666666666667
2023-W05-D2,2023-02-01,2023,5,2,2,0,0,0,6.666666666666667,3.5714285714285716,42,142.79999999999998,4.8,10.0,10.0,22.0,4.2,8.333333333333332
2023-W05-D3,2023-02-02,2023,5,2,3,0,0,0,8.333333333333332,4.642857142857143,42,142.79999999999998,4.8,9.0,9.0,19.0,4.888888888888889,7.5
2023-W05-D4,2023-02-03,2023,5,2,4,0,0,1,7.5,5.476190476190475,42,142.79999999999998,4.8,7.0,7.0,14.0,4.571428571428571,5.833333333333333
2023-W05-D5,2023-02-04,2023,5,2,5,0,0,1,5.833333333333333,5.952380952380952,42,142.79999999999998,4.8,6.0,6.0,14.0,4.666666666666667,5.0
2023-W05-D6,2023-02-05,2023,5,2,6,0,0,0,5.0,5.952380952380952,42,142.79999999999998,4.8,5.0,5.0,10.0,4.8,4.166666666666666
2023-W06-D0,2023-02-06,2023,6,2,0,0,0,0,4.166666666666666,6.07142857142857,42,142.79999999999998,4.8,4.0,4.0,8.0,5.5,3.3333333333333335
2023-W06-D1,2023-02-07,2023,6,2,1,0,0,0,3.3333333333333335,5.833333333333334,42,142.79999999999998,4.8,3.0,3.0,7.0,5.0,2.5
2023-W06-D2,2023-02-08,2023,6,2,2,0,0,0,2.5,5.238095238095238,42,142.79999999999998,4.8,3.0,3.0,7.0,5.0,2.5
2023-W06-D3,2023-02-09,2023,6,2,3,0,0,0,2.5,4.404761904761904,42,142.79999999999998,4.8,5.0,5.0,14.0,5.2,4.166666666666666
2023-W06-D4,2023-02-10,2023,6,2,4,0,0,1,4.166666666666666,3.928571428571429,42,142.79999999999998,4.8,8.0,8.0,23.0,4.25,6.666666666666667
2023-W06-D5,2023-02-11,2023,6,2,5,0,0,1,6.666666666666667,4.0476190476190474,42,142.79999999999998,4.8,9.0,9.0,26.0,4.111111111111111,7.5
2023-W06-D6,2023-02-12,2023,6,2,6,0,0,0,7.5,4.404761904761904,42,142.79999999999998,4.8,10.0,10.0,30.0,4.7,8.333333333333332
2023-W07-D0,2023-02-13,2023,7,2,0,0,0,0,8.333333333333332,5.0,42,142.79999999999998,4.8,8.0,8.0,22.0,5.0,6.666666666666667
2023-W07-D1,2023-02-14,2023,7,2,1,0,0,0,6.666666666666667,5.476190476190475,42,142.79999999999998,4.8,6.0,6.0,18.0,5.333333333333333,5.0
2023-W07-D2,2023-02-15,2023,7,2,2,0,0,0,5.0,5.833333333333333,42,142.79999999999998,4.8,9.0,9.0,24.0,4.555555555555555,7.5
2023-W07-D3,2023-02-16,2023,7,2,3,0,0,0,7.5,6.547619047619047,42,142.79999999999998,4.8,10.0,10.0,27.0,3.8,8.333333333333332
2023-W07-D4,2023-02-17,2023,7,2,4,0,0,1,8.333333333333332,7.142857142857143,42,142.79999999999998,4.8,6.0,6.0,15.0,3.5,5.0
2023-W07-D5,2023-02-18,2023,7,2,5,0,0,1,5.0,6.904761904761904,42,142.79999999999998,4.8,7.0,7.0,23.0,4.0,5.833333333333333
2023-W07-D6,2023-02-19,2023,7,2,6,0,0,0,5.833333333333333,6.666666666666666,42,142.79999999999998,4.8,4.0,4.0,18.0,4.5,3.3333333333333335
2023-W08-D0,2023-02-20,2023,8,2,0,0,0,0,3.3333333333333335,5.952380952380952,42,142.79999999999998,4.8,5.0,5.0,19.0,4.6,4.166666666666666
2023-W08-D1,2023-02-21,2023,8,2,1,0,0,0,4.166666666666666,5.595238095238096,42,142.79999999999998,4.8,9.0,9.0,30.0,4.111111111111111,7.5
2023-W08-D2,2023-02-22,2023,8,2,2,0,0,0,7.5,5.952380952380953,42,142.79999999999998,4.8,10.0,10.0,31.0,4.2,8.333333333333332
2023-W08-D3,2023-02-23,2023,8,2,3,0,0,0,8.333333333333332,6.071428571428571,42,142.79999999999998,4.8,7.0,7.0,19.0,4.428571428571429,5.833333333333333
2023-W08-D4,2023-02-24,2023,8,2,4,0,0,1,5.833333333333333,5.714285714285714,42,142.79999999999998,4.8,8.0,8.0,20.0,5.0,6.666666666666667
2023-W08-D5,2023-02-25,2023,8,2,5,0,0,1,6.666666666666667,5.952380952380952,42,142.79999999999998,4.8,12.0,12.0,32.0,4.083333333333333,10.0
2023-W08-D6,2023-02-26,2023,8,2,6,0,0,0,10.0,6.547619047619047,42,142.79999999999998,4.8,12.0,12.0,34.0,4.25,10.0
2023-W09-D0,2023-02-27,2023,9,2,0,0,0,0,10.0,7.5,42,142.79999999999998,4.8,8.0,8.0,26.0,4.375,6.666666666666667
2023-W09-D1,2023-02-28,2023,9,2,1,0,0,0,6.666666666666667,7.857142857142856,42,142.79999999999998,4.8,5.0,5.0,15.0,5.2,4.166666666666666
2023-W09-D2,2023-03-01,2023,9,3,2,1,0,0,4.166666666666666,7.380952380952381,42,142.79999999999998,4.8,4.0,4.0,12.0,5.25,3.3333333333333335
2023-W09-D3,2023-03-02,2023,9,3,3,1,0,0,3.3333333333333335,6.666666666666666,42,142.79999999999998,4.8,5.0,5.0,15.0,5.0,4.166666666666666
2023-W09-D4,2023-03-03,2023,9,3,4,1,0,1,4.166666666666666,6.428571428571429,42,142.79999999999998,4.8,5.0,5.0,15.0,3.8,4.166666666666666
2023-W09-D5,2023-03-04,2023,9,3,5,1,0,1,4.166666666666666,6.071428571428571,42,142.79999999999998,4.8,4.0,4.0,14.0,4.0,3.3333333333333335
2023-W09-D6,2023-03-05,2023,9,3,6,1,0,0,3.3333333333333335,5.119047619047619,42,142.79999999999998,4.8,5.0,5.0,15.0,4.8,4.166666666666666
2023-W10-D0,2023-03-06,2023,10,3,0,1,0,0,4.166666666666666,4.285714285714286,42,142.79999999999998,4.8,4.0,4.0,11.0,4.75,3.3333333333333335
2023-W10-D1,2023-03-07,2023,10,3,1,1,0,0,3.3333333333333335,3.8095238095238098,42,142.79999999999998,4.8,6.0,6.0,13.0,4.166666666666667,5.0
2023-W10-D2,2023-03-08,2023,10,3,2,1,0,0,5.0,3.928571428571429,42,142.79999999999998,4.8,5.0,5.0,12.0,4.6,4.166666666666666
2023-W10-D3,2023-03-09,2023,10,3,3,1,0,0,4.166666666666666,4.047619047619047,42,142.79999999999998,4.8,5.0,5.0,15.0,4.8,4.166666666666666
2023-W10-D4,2023-03-10,2023,10,3,4,1,0,1,4.166666666666666,4.0476190476190474,42,142.79999999999998,4.8,8.0,8.0,23.0,4.25,6.666666666666667
2023-W10-D5,2023-03-11,2023,10,3,5,1,0,1,6.666666666666667,4.404761904761904,42,142.79999999999998,4.8,7.0,7.0,22.0,4.285714285714286,5.833333333333333
2023-W10-D6,2023-03-12,2023,10,3,6,1,0,0,5.833333333333333,4.761904761904761,42,142.79999999999998,4.8,6.0,6.0,17.0,4.0,5.0
2023-W11-D0,2023-03-13,2023,11,3,0,1,0,0,5.0,4.880952380952381,42,142.79999999999998,4.8,5.0,5.0,11.0,4.2,4.166666666666666
2023-W11-D1,2023-03-14,2023,11,3,1,1,0,0,4.166666666666666,5.0,42,142.79999999999998,4.8,6.0,6.0,12.0,4.333333333333333,5.0
2023-W11-D2,2023-03-15,2023,11,3,2,1,0,0,5.0,5.0,42,142.79999999999998,4.8,6.0,6.0,17.0,4.333333333333333,5.0
2023-W11-D3,2023-03-16,2023,11,3,3,1,0,0,5.0,5.1190476190476195,42,142.79999999999998,4.8,5.0,5.0,13.0,4.8,4.166666666666666
2023-W11-D4,2023-03-17,2023,11,3,4,1,0,1,4.166666666666666,5.119047619047619,42,142.79999999999998,4.8,8.0,8.0,16.0,4.75,6.666666666666667
2023-W11-D5,2023-03-18,2023,11,3,5,1,0,1,6.666666666666667,5.119047619047619,42,142.79999999999998,4.8,10.0,10.0,27.0,4.1,8.333333333333332
2023-W11-D6,2023-03-19,2023,11,3,6,1,0,0,8.333333333333332,5.476190476190475,42,142.79999999999998,4.8,10.0,10.0,32.0,4.3,8.333333333333332
2023-W12-D0,2023-03-20,2023,12,3,0,1,0,0,8.333333333333332,5.952380952380952,42,142.79999999999998,4.8,11.0,11.0,30.0,4.363636363636363,9.166666666666666
2023-W12-D1,2023-03-21,2023,12,3,1,1,0,0,9.166666666666666,6.666666666666666,42,142.79999999999998,4.8,11.0,11.0,32.0,4.2727272727272725,9.166666666666666
2023-W12-D2,2023-03-22,2023,12,3,2,1,0,0,9.166666666666666,7.261904761904761,42,142.79999999999998,4.8,10.0,10.0,28.0,4.4,8.333333333333332
2023-W12-D3,2023-03-23,2023,12,3,3,1,0,0,8.333333333333332,7.738095238095238,42,142.79999999999998,4.8,10.0,10.0,28.0,4.5,8.333333333333332
2023-W12-D4,2023-03-24,2023,12,3,4,1,0,1,8.333333333333332,8.333333333333332,42,142.79999999999998,4.8,11.0,11.0,30.0,4.0,9.166666666666666
2023-W12-D5,2023-03-25,2023,12,3,5,1,0,1,9.166666666666666,8.69047619047619,42,142.79999999999998,4.8,9.0,9.0,25.0,3.6666666666666665,7.5
2023-W12-D6,2023-03-26,2023,12,3,6,1,0,0,7.5,8.571428571428571,42,142.79999999999998,4.8,5.0,5.0,15.0,4.4,4.166666666666666
2023-W13-D0,2023-03-27,2023,13,3,0,1,0,0,4.166666666666666,7.976190476190475,42,142.79999999999998,4.8,4.0,4.0,8.0,5.0,3.3333333333333335
2023-W13-D1,2023-03-28,2023,13,3,1,1,0,0,3.3333333333333335,7.142857142857143,42,142.79999999999998,4.8,5.0,5.0,12.0,4.0,4.166666666666666
2023-W13-D2,2023-03-29,2023,13,3,2,1,0,0,4.166666666666666,6.428571428571428,42,142.79999999999998,4.8,7.0,7.0,19.0,3.7142857142857144,5.833333333333333
2023-W13-D3,2023-03-30,2023,13,3,3,1,0,0,5.833333333333333,6.071428571428571,42,142.79999999999998,4.8,5.0,5.0,12.0,4.4,4.166666666666666
2023-W13-D4,2023-03-31,2023,13,3,4,1,0,1,4.166666666666666,5.476190476190476,42,142.79999999999998,4.8,6.0,6.0,15.0,4.666666666666667,5.0
2023-W13-D5,2023-04-01,2023,13,4,5,1,0,1,5.0,4.8809523809523805,42,142.79999999999998,4.8,8.0,8.0,23.0,4.5,6.666666666666667
2023-W13-D6,2023-04-02,2023,13,4,6,1,0,0,6.666666666666667,4.761904761904761,42,142.79999999999998,4.8,8.0,8.0,23.0,4.625,6.666666666666667
2023-W14-D0,2023-04-03,2023,14,4,0,1,0,0,6.666666666666667,5.1190476190476195,42,142.79999999999998,4.8,10.0,10.0,31.0,4.3,8.333333333333332
2023-W14-D1,2023-04-04,2023,14,4,1,1,0,0,8.333333333333332,5.833333333333333,42,142.79999999999998,4.8,10.0,10.0,24.0,4.4,8.333333333333332
2023-W14-D2,2023-04-05,2023,14,4,2,1,0,0,8.333333333333332,6.428571428571429,42,142.79999999999998,4.8,8.0,8.0,21.0,4.25,6.666666666666667
2023-W14-D3,2023-04-06,2023,14,4,3,1,0,0,6.666666666666667,6.547619047619047,42,142.79999999999998,4.8,9.0,9.0,31.0,4.444444444444445,7.5
2023-W14-D4,2023-04-07,2023,14,4,4,1,0,1,7.5,7.023809523809524,42,142.79999999999998,4.8,7.0,7.0,32.0,3.857142857142857,5.833333333333333
2023-W14-D5,2023-04-08,2023,14,4,5,1,0,1,5.833333333333333,7.142857142857143,42,142.79999999999998,4.8,10.0,10.0,39.0,3.5,8.333333333333332
2023-W14-D6,2023-04-09,2023,14,4,6,1,0,0,8.333333333333332,7.3809523809523805,42,142.79999999999998,4.8,6.0,6.0,27.0,3.6666666666666665,5.0
2023-W15-D0,2023-04-10,2023,15,4,0,1,0,0,5.0,7.1428571428571415,42,142.79999999999998,4.8,2.0,2.0,6.0,5.5,1.6666666666666667
2023-W15-D1,2023-04-11,2023,15,4,1,1,0,0,1.6666666666666667,6.19047619047619,42,142.79999999999998,4.8,4.0,4.0,11.0,4.75,3.3333333333333335
2023-W15-D2,2023-04-12,2023,15,4,2,1,0,0,3.3333333333333335,5.476190476190476,42,142.79999999999998,4.8,6.0,6.0,19.0,5.333333333333333,5.0
2023-W15-D3,2023-04-13,2023,15,4,3,1,0,0,5.0,5.238095238095238,42,142.79999999999998,4.8,10.0,10.0,27.0,4.2,8.333333333333332
2023-W15-D4,2023-04-14,2023,15,4,4,1,0,1,8.333333333333332,5.357142857142857,42,142.79999999999998,4.8,12.0,12.0,34.0,4.083333333333333,10.0
2023-W15-D5,2023-04-15,2023,15,4,5,1,0,1,10.0,5.952380952380952,42,142.79999999999998,4.8,20.0,20.0,58.0,3.7,16.666666666666664
2023-W15-D6,2023-04-16,2023,15,4,6,1,0,0,16.666666666666664,7.1428571428571415,42,142.79999999999998,4.8,21.0,21.0,57.0,3.6666666666666665,17.5
2023-W16-D0,2023-04-17,2023,16,4,0,1,0,0,17.5,8.928571428571429,42,142.79999999999998,4.8,16.0,16.0,37.0,4.125,13.333333333333334
2023-W16-D1,2023-04-18,2023,16,4,1,1,0,0,13.333333333333334,10.595238095238091,42,142.79999999999998,4.8,19.0,19.0,47.0,4.157894736842105,15.833333333333332
2023-W16-D2,2023-04-19,2023,16,4,2,1,0,0,15.833333333333332,12.38095238095238,42,142.79999999999998,4.8,16.0,16.0,38.0,3.9375,13.333333333333334
2023-W16-D3,2023-04-20,2023,16,4,3,1,0,0,13.333333333333334,13.571428571428571,42,142.79999999999998,4.8,13.0,13.0,34.0,4.615384615384615,10.833333333333334
2023-W16-D4,2023-04-21,2023,16,4,4,1,0,1,10.833333333333334,13.928571428571429,42,142.79999999999998,4.8,15.0,15.0,40.0,4.6,12.5
2023-W16-D5,2023-04-22,2023,16,4,5,1,0,1,12.5,14.285714285714286,42,142.79999999999998,4.8,15.0,15.0,50.0,4.133333333333334,12.5
2023-W16-D6,2023-04-23,2023,16,4,6,1,0,0,12.5,13.69047619047619,42,142.79999999999998,4.8,15.0,15.0,48.0,4.533333333333333,12.5
2023-W17-D0,2023-04-24,2023,17,4,0,1,1,0,12.5,12.976190476190476,42,142.79999999999998,4.8,14.0,14.0,45.0,5.785714285714286,11.666666666666666
2023-W17-D1,2023-04-25,2023,17,4,1,1,1,0,11.666666666666666,12.73809523809524,42,142.79999999999998,4.8,18.0,18.0,60.0,6.055555555555555,15.0
2023-W17-D2,2023-04-26,2023,17,4,2,1,1,0,15.0,12.61904761904762,42,142.79999999999998,4.8,23.0,23.0,73.0,5.869565217391305,19.166666666666668
2023-W17-D3,2023-04-27,2023,17,4,3,1,1,0,19.166666666666668,13.452380952380953,42,142.79999999999998,4.8,24.0,24.0,78.0,6.541666666666667,20.0
2023-W17-D4,2023-04-28,2023,17,4,4,1,1,1,20.0,14.761904761904765,42,142.79999999999998,4.8,31.0,31.0,94.0,6.419354838709677,25.833333333333336
2023-W17-D5,2023-04-29,2023,17,4,5,1,1,1,25.833333333333336,16.666666666666668,42,142.79999999999998,4.8,34.0,34.0,97.0,6.882352941176471,28.333333333333332
2023-W17-D6,2023-04-30,2023,17,4,6,1,1,0,28.333333333333332,18.928571428571427,42,142.79999999999998,4.8,36.0,36.0,100.0,7.138888888888889,30.0
2023-W18-D0,2023-05-01,2023,18,5,0,1,1,0,30.0,21.428571428571427,42,142.79999999999998,4.8,33.0,33.0,93.0,7.424242424242424,27.500000000000004
2023-W18-D1,2023-05-02,2023,18,5,1,1,1,0,27.500000000000004,23.690476190476183,42,142.79999999999998,4.8,36.0,36.0,106.0,7.333333333333333,30.0
2023-W18-D2,2023-05-03,2023,18,5,2,1,1,0,30.0,25.833333333333332,42,142.79999999999998,4.8,36.0,36.0,114.0,7.694444444444445,30.0
2023-W18-D3,2023-05-04,2023,18,5,3,1,1,0,30.0,27.38095238095238,42,142.79999999999998,4.8,32.0,32.0,99.0,8.0625,26.666666666666668
2023-W18-D4,2023-05-05,2023,18,5,4,1,1,1,26.666666666666668,28.333333333333336,42,142.79999999999998,4.8,34.0,34.0,107.0,8.205882352941176,28.333333333333332
2023-W18-D5,2023-05-06,2023,18,5,5,1,1,1,28.333333333333332,28.690476190476183,42,142.79999999999998,4.8,37.0,37.0,107.0,8.18918918918919,30.833333333333336
2023-W18-D6,2023-05-07,2023,18,5,6,1,1,0,30.833333333333336,29.047619047619047,42,142.79999999999998,4.8,38.0,38.0,109.0,8.289473684210526,31.666666666666664
2023-W19-D0,2023-05-08,2023,19,5,0,1,1,0,31.666666666666664,29.285714285714285,42,142.79999999999998,4.8,39.0,39.0,110.0,8.179487179487179,32.5
2023-W19-D1,2023-05-09,2023,19,5,1,1,1,0,32.5,30.0,42,142.79999999999998,4.8,34.0,34.0,99.0,8.441176470588236,28.333333333333332
2023-W19-D2,2023-05-10,2023,19,5,2,1,1,0,28.333333333333332,29.761904761904763,42,142.79999999999998,4.8,30.0,30.0,84.0,8.9,25.0
2023-W19-D3,2023-05-11,2023,19,5,3,1,1,0,25.0,29.047619047619047,42,142.79999999999998,4.8,33.0,33.0,95.0,8.484848484848484,27.500000000000004
2023-W19-D4,2023-05-12,2023,19,5,4,1,1,1,27.500000000000004,29.166666666666664,42,142.79999999999998,4.8,41.0,41.0,122.0,8.78048780487805,34.166666666666664
2023-W19-D5,2023-05-13,2023,19,5,5,1,1,1,34.166666666666664,30.0,42,142.79999999999998,4.8,40.0,40.0,119.0,9.0,33.33333333333333
2023-W19-D6,2023-05-14,2023,19,5,6,1,1,0,33.33333333333333,30.357142857142858,42,142.79999999999998,4.8,41.0,41.0,113.0,9.21951219512195,34.166666666666664
2023-W20-D0,2023-05-15,2023,20,5,0,1,0,0,34.166666666666664,30.714285714285715,42,142.79999999999998,4.8,37.0,37.0,97.0,9.324324324324325,30.833333333333336
2023-W20-D1,2023-05-16,2023,20,5,1,1,0,0,30.833333333333336,30.47619047619048,42,142.79999999999998,4.8,32.0,32.0,88.0,9.90625,26.666666666666668
2023-W20-D2,2023-05-17,2023,20,5,2,1,0,0,26.666666666666668,30.238095238095237,42,142.79999999999998,4.8,32.0,32.0,92.0,9.28125,26.666666666666668
2023-W20-D3,2023-05-18,2023,20,5,3,1,0,0,26.666666666666668,30.47619047619048,42,142.79999999999998,4.8,33.0,33.0,101.0,8.666666666666666,27.500000000000004
2023-W20-D4,2023-05-19,2023,20,5,4,1,0,1,27.500000000000004,30.47619047619048,42,142.79999999999998,4.8,39.0,39.0,106.0,7.3076923076923075,32.5
2023-W20-D5,2023-05-20,2023,20,5,5,1,0,1,32.5,30.23809523809524,42,142.79999999999998,4.8,39.0,39.0,105.0,6.615384615384615,32.5
2023-W20-D6,2023-05-21,2023,20,5,6,1,0,0,32.5,30.11904761904762,42,142.79999999999998,4.8,37.0,37.0,105.0,6.486486486486487,30.833333333333336
2023-W21-D0,2023-05-22,2023,21,5,0,1,0,0,30.833333333333336,29.642857142857142,42,142.79999999999998,4.8,32.0,32.0,89.0,7.03125,26.666666666666668
2023-W21-D1,2023-05-23,2023,21,5,1,1,0,0,26.666666666666668,29.047619047619047,42,142.79999999999998,4.8,32.0,32.0,86.0,6.53125,26.666666666666668
2023-W21-D2,2023-05-24,2023,21,5,2,1,0,0,26.666666666666668,29.047619047619055,42,142.79999999999998,4.8,30.0,30.0,87.0,6.766666666666667,25.0
2023-W21-D3,2023-05-25,2023,21,5,3,1,0,0,25.0,28.809523809523817,42,142.79999999999998,4.8,25.0,25.0,71.0,7.4,20.833333333333336
2023-W21-D4,2023-05-26,2023,21,5,4,1,0,1,20.833333333333336,27.857142857142858,42,142.79999999999998,4.8,20.0,20.0,62.0,5.95,16.666666666666664
2023-W21-D5,2023-05-27,2023,21,5,5,1,0,1,16.666666666666664,25.5952380952381,42,142.79999999999998,4.8,17.0,17.0,61.0,5.0,14.166666666666666
2023-W21-D6,2023-05-28,2023,21,5,6,1,0,0,14.166666666666666,22.97619047619048,42,142.79999999999998,4.8,14.0,14.0,50.0,5.214285714285714,11.666666666666666
2023-W22-D0,2023-05-29,2023,22,5,0,1,0,0,11.666666666666666,20.238095238095237,42,142.79999999999998,4.8,15.0,15.0,53.0,4.933333333333334,12.5
2023-W22-D1,2023-05-30,2023,22,5,1,1,0,0,12.5,18.214285714285715,42,142.79999999999998,4.8,17.0,17.0,50.0,4.705882352941177,14.166666666666666
2023-W22-D2,2023-05-31,2023,22,5,2,1,0,0,14.166666666666666,16.428571428571427,42,142.79999999999998,4.8,18.0,18.0,46.0,4.388888888888889,15.0
2023-W22-D3,2023-06-01,2023,22,6,3,2,0,0,15.0,15.0,42,142.79999999999998,4.8,17.0,17.0,41.0,4.588235294117647,14.166666666666666
2023-W22-D4,2023-06-02,2023,22,6,4,2,0,1,14.166666666666666,14.047619047619046,42,142.79999999999998,4.8,18.0,18.0,44.0,4.555555555555555,15.0
2023-W22-D5,2023-06-03,2023,22,6,5,2,0,1,15.0,13.809523809523808,42,142.79999999999998,4.8,17.0,17.0,40.0,4.294117647058823,14.166666666666666
2023-W22-D6,2023-06-04,2023,22,6,6,2,0,0,14.166666666666666,13.809523809523808,42,142.79999999999998,4.8,12.0,12.0,33.0,4.916666666666667,10.0
2023-W23-D0,2023-06-05,2023,23,6,0,2,0,0,10.0,13.571428571428571,42,142.79999999999998,4.8,12.0,12.0,36.0,4.5,10.0
2023-W23-D1,2023-06-06,2023,23,6,1,2,0,0,10.0,13.214285714285714,42,142.79999999999998,4.8,15.0,15.0,44.0,4.333333333333333,12.5
2023-W23-D2,2023-06-07,2023,23,6,2,2,0,0,12.5,12.976190476190476,42,142.79999999999998,4.8,14.0,14.0,48.0,4.642857142857143,11.666666666666666
2023-W23-D3,2023-06-08,2023,23,6,3,2,0,0,11.666666666666666,12.5,42,142.79999999999998,4.8,13.0,13.0,48.0,4.923076923076923,10.833333333333334
2023-W23-D4,2023-06-09,2023,23,6,4,2,0,1,10.833333333333334,12.023809523809524,42,142.79999999999998,4.8,13.0,13.0,51.0,4.0,10.833333333333334
2023-W23-D5,2023-06-10,2023,23,6,5,2,0,1,10.833333333333334,11.428571428571429,42,142.79999999999998,4.8,15.0,15.0,59.0,3.6,12.5
2023-W23-D6,2023-06-11,2023,23,6,6,2,0,0,12.5,11.190476190476192,42,142.79999999999998,4.8,9.0,9.0,37.0,3.888888888888889,7.5
2023-W24-D0,2023-06-12,2023,24,6,0,2,0,0,7.5,10.833333333333334,42,142.79999999999998,4.8,10.0,10.0,30.0,4.6,8.333333333333332
